table,source,rows,row_bytes,f32_slots,file_bytes,datastart,longdata,error
UnlockParam_Archive_Logs,mob,50,16,4,5322,1264,True,
UnlockParam_Archive_Terms,mob,2,16,4,170,112,True,
UnlockParam_Archive_Tips,mob,114,16,4,6944,2800,True,
UnlockParam_DLC,mob,1,16,4,130,88,True,
UnlockParam_DecalImage,mob,36,16,4,1530,928,True,
UnlockParam_EmblemPiece,mob,1,16,4,130,88,True,
UnlockParam_Equipment,mob,24,16,4,1764,640,True,
UnlockParam_MenuCommand,mob,22,16,4,1174,592,True,
UnlockParam_NamePlate_Solo,mob,21,16,4,930,568,True,
UnlockParam_NamePlate_Team,mob,21,16,4,930,568,True,
UnlockParam_NpAcArena,mob,44,16,4,4464,1120,True,
UnlockParam_OsPoint,mob,41,16,4,4598,1048,True,
UnlockParam_Trophy,mob,29,16,4,2930,760,True,
WepAbsorpPosParam,mob,22,132,33,3706,592,True,
WetAspectParam,mob,20,32,8,1456,544,True,
WhiteSignCoolTimeParam,mob,10,16,4,498,304,True,
WorldMapLegacyConvParam,mob,106,48,12,7731,2608,True,
WwiseValueToStrParam_ReflectAuxBusType,mob,4,32,8,362,160,True,
WwiseValueToStrParam_ReflectTextureType,mob,6,32,8,524,208,True,
WwiseValueToStrParam_ReverbAuxBusType,mob,17,32,8,1564,472,True,
WwiseValueToStrParam_RuntimeReflectTextureType,mob,100,32,8,5796,2464,True,
WwiseValueToStrParam_Switch_AttackPowerType,mob,3,32,8,348,136,True,
WwiseValueToStrParam_Switch_BGMStatus,mob,8,32,8,696,256,True,
WwiseValueToStrParam_Switch_BulletGenerateType,mob,3,32,8,306,136,True,
WwiseValueToStrParam_Switch_DestroyedSeType,mob,37,32,8,2254,952,True,
WwiseValueToStrParam_Switch_GeneratorType,mob,3,32,8,310,136,True,
WwiseValueToStrParam_Switch_Material,mob,115,32,8,6810,2824,True,
WwiseValueToStrParam_Switch_ShootSeCategory,mob,38,32,8,3132,976,True,
WwiseValueToStrParam_Switch_WeaponAtkAttribute,mob,6,32,8,510,208,True,
WwiseValueToStrParam_Switch_WeaponMaterial,mob,17,32,8,1216,472,True,
WwiseValueToStrParam_Switch_Weapon_Type,mob,14,32,8,1116,400,True,
Zoomblur,mob,7,32,8,473,232,True,
AccountParam,reibis,301,16,4,18619,7288,True,
ActionButtonParam,reibis,144,112,28,19674,3520,True,
AiSoundParam,reibis,34,32,8,1990,880,True,
AnimMoveCorrectionParam,reibis,22,64,16,2034,592,True,
ArchiveParam,reibis,57,128,32,12042,1432,True,
ArenaParam,reibis,159,96,24,21521,3880,True,
AssetEnvironmentGeometryParam,reibis,5116,344,86,1882877,122848,True,
AssetMaterialSfxParam,reibis,44,128,32,6784,1120,True,
AssetModelSfxParam,reibis,364,128,32,55421,8800,True,
AssetTranscriptionParam,reibis,288,24,6,13921,6976,True,
AtkNpcOperationPartsParam,reibis,45,32,8,2621,1144,True,
AtkOperationPartsParam,reibis,94,48,12,13359,2320,True,
AtkParam_Npc,reibis,1750,1040,260,1864551,42064,True,
AtkParam_Pc,reibis,866,1040,260,947219,20848,True,
AttachObj_Npc,reibis,29,544,136,17994,760,True,
AttachObj_Pc,reibis,4,544,136,2360,160,True,
AttackActionParam_NPC,reibis,1371,100,25,171667,32968,True,
AttackActionParam_PC,reibis,430,100,25,65771,10384,True,
AutoAssembleEvaluate,reibis,20,16,4,1451,544,True,
BehaviorChangeStateMatrixParam,reibis,227,32,8,29428,5512,True,
BehaviorParam,reibis,3070,208,52,713922,73744,True,
BehaviorParam_PC,reibis,879,208,52,225212,21160,True,
BladeHomingAngSpeedParam,reibis,177,64,16,18146,4312,True,
BladeHomingAutoCancelEnableParam,reibis,38,60,15,5665,976,True,
BladeHomingParam,reibis,10,64,16,970,304,True,
BonfireWarpParam,reibis,15,32,8,930,424,True,
BoostParam,reibis,2,128,32,387,112,True,
BudgetParam,reibis,1,132,33,240,88,True,
Bullet,reibis,712,888,222,673214,17152,True,
BulletCreateLimitParam,reibis,2,32,8,209,112,True,
BulletShotgunParam_NPC,reibis,91,444,111,43164,2248,True,
BulletShotgunParam_PC,reibis,81,444,111,41248,2008,True,
Bullet_Npc,reibis,2540,888,222,2318968,61024,True,
BuoyancyParam,reibis,4,40,10,342,160,True,
CalcCorrectGraph,reibis,169,80,20,21716,4120,True,
CartridgeBehaviorParam,reibis,78,72,18,7584,1936,True,
CharaInitParam,reibis,926,404,101,427679,22288,True,
ChrActTurnParam,reibis,258,168,42,49926,6256,True,
ChrActTurnParam_Npc,reibis,2124,168,42,407898,51040,True,
ChrHitMaterialCheckParam,reibis,2,256,64,660,112,True,
ChrModelParam,reibis,62,12,3,2319,1552,True,
ChrProxyPhysicsParam,reibis,1,64,16,183,88,True,
CompanyContributePointParam,reibis,26,32,8,1557,688,True,
CoolTimeParam,reibis,40,32,8,2327,1024,True,
CutsceneGparamTimeParam,reibis,4,12,3,242,160,True,
CutsceneGparamWeatherParam,reibis,1,36,9,161,88,True,
CutsceneMapIdParam,reibis,74,52,13,12273,1840,True,
CutsceneReplaceSfxParam,reibis,38,4,1,1162,976,True,
CutsceneTimezoneConvertParam,reibis,7,12,3,355,232,True,
CylinderParam,reibis,95,64,16,8446,2344,True,
DamageLevelConvParam,reibis,132,256,64,37055,3232,True,
DamageLevelConvThresholdParam,reibis,57,208,52,14823,1432,True,
DecalParam,reibis,248,252,63,68531,6016,True,
DefaultKeyAssignParam,reibis,84,32,8,4792,2080,True,
DefaultKeyAssignParam01,reibis,84,32,8,4792,2080,True,
DefaultKeyAssignParam02,reibis,84,32,8,4792,2080,True,
Depthline,reibis,4,64,16,434,160,True,
DirectionCameraParam,reibis,6,20,5,358,208,True,
ENAutoRecoveryControlParam,reibis,2,160,40,480,112,True,
EmblemPieceSpec,reibis,997,16,4,39969,23992,True,
EnemyCommonParam,reibis,1,256,64,370,88,True,
EquipMtrlSetParam,reibis,28,52,13,2220,736,True,
EquipParamAccessory,reibis,43,100,25,5425,1096,True,
EquipParamBooster,reibis,27,384,96,12096,712,True,
EquipParamFcs,reibis,19,208,52,5084,520,True,
EquipParamGenerator,reibis,25,340,85,9876,664,True,
EquipParamGoods,reibis,218,140,35,39343,5296,True,
EquipParamProtector,reibis,138,900,225,132165,3376,True,
EquipParamWeapon,reibis,352,1556,389,577709,8512,True,
EquipParamWeapon_Npc,reibis,813,1104,276,918200,19576,True,
EquipmentLineupParam,reibis,397,32,8,45717,9592,True,
EquipmentMenuManageCategoryParam,reibis,110,32,8,9448,2704,True,
FeFreeDialogParam,reibis,31,64,16,2819,808,True,
FeTextEffectParam,reibis,280,32,8,15866,6784,True,
FootIKParam,reibis,68,64,16,6069,1696,True,
FootIKSetupParam,reibis,86,132,33,13507,2128,True,
FootSfxParam,reibis,26,844,211,22654,688,True,
GameAreaParam,reibis,69,32,8,3951,1720,True,
GamePresenceParam,reibis,12,32,8,760,352,True,
GameSystemParam,reibis,1,704,176,817,88,True,
GarageCameraAnimParam,reibis,7,196,49,1636,232,True,
GarageCutsceneParam,reibis,3,80,20,405,136,True,
GeneratorTypeSfxIdRplace_PC,reibis,30,32,8,1835,784,True,
GraphicsParam,reibis,1,196,49,306,88,True,
GrassLodRangeParam,reibis,15,24,6,813,424,True,
GrassTypeParam,reibis,51,264,66,16322,1288,True,
HandIKParam,reibis,47,64,16,4221,1192,True,
HitEffectSfxConceptParam,reibis,64,128,32,9828,1600,True,
HitEffectSfxParam,reibis,71,240,60,18836,1768,True,
HitMtrlParam,reibis,45,96,24,5486,1144,True,
InteractiveSmokeParam,reibis,2,64,16,271,112,True,
ItemLotParam,reibis,291,156,39,58539,7048,True,
JigglerBaseParam,reibis,351,164,41,76566,8488,True,
JigglerBehaviorParam,reibis,49,64,16,4840,1240,True,
JigglerBehaviorSlideParam,reibis,33,80,20,3532,856,True,
JigglerBehaviorTargetBoneRateParam,reibis,42,64,16,3807,1072,True,
JigglerBehaviorWorldFixParam,reibis,4,32,8,328,160,True,
JumpSpecifyAltParam,reibis,35,44,11,2474,904,True,
KeyAssignDisplayParam,reibis,58,32,8,3341,1456,True,
KeyAssignMenuItemParam,reibis,24,16,4,1057,640,True,
KnockBackParam,reibis,4,80,20,503,160,True,
KnowledgeLoadScreenItemParam,reibis,5,28,7,363,184,True,
LoadBalancerDrawDistScaleParam,reibis,22,128,32,3451,592,True,
LoadBalancerDrawDistScaleParam_ps4,reibis,48,128,32,7403,1216,True,
LoadBalancerDrawDistScaleParam_ps5,reibis,22,128,32,3451,592,True,
LoadBalancerDrawDistScaleParam_xb1,reibis,46,128,32,7099,1168,True,
LoadBalancerDrawDistScaleParam_xb1x,reibis,22,128,32,3451,592,True,
LoadBalancerDrawDistScaleParam_xss,reibis,22,128,32,3451,592,True,
LoadBalancerDrawDistScaleParam_xsx,reibis,22,128,32,3451,592,True,
LoadBalancerNewDrawDistScaleParam_ps4,reibis,14,48,12,1119,400,True,
LoadBalancerNewDrawDistScaleParam_ps5,reibis,1,48,12,183,88,True,
LoadBalancerNewDrawDistScaleParam_win64,reibis,14,48,12,1119,400,True,
LoadBalancerNewDrawDistScaleParam_xb1,reibis,9,48,12,759,280,True,
LoadBalancerNewDrawDistScaleParam_xb1x,reibis,9,48,12,759,280,True,
LoadBalancerNewDrawDistScaleParam_xss,reibis,1,48,12,183,88,True,
LoadBalancerNewDrawDistScaleParam_xsx,reibis,1,48,12,183,88,True,
LoadBalancerParam,reibis,33,80,20,3523,856,True,
LockCamParam,reibis,111,376,94,45080,2728,True,
LookAtHeadParam,reibis,4,32,8,314,160,True,
LookAtParam,reibis,469,124,31,69497,11320,True,
LookAtParam_Npc,reibis,993,124,31,147049,23896,True,
LookAtSpineParam,reibis,138,256,64,38731,3376,True,
Magic,reibis,151,80,20,15787,3688,True,
MailParam,reibis,46,128,32,7074,1168,True,
MapAreaParam,reibis,25,40,10,1691,664,True,
MapDefaultInfoParam,reibis,1,20,5,138,88,True,
MapGimmickParam,reibis,10,16,4,489,304,True,
MapPartsParam,reibis,1,32,8,143,88,True,
MaterialExParam,reibis,212,96,24,25811,5152,True,
MenuBehaviorParam,reibis,31,32,8,1824,808,True,
MenuColorTableParam,reibis,882,4,1,24790,21232,True,
MenuErrorHandlingParam,reibis,28,32,8,1661,736,True,
MenuFilter,reibis,28,52,13,2211,736,True,
MenuInputGestureParam,reibis,175,16,4,7092,4264,True,
MenuOffscrRendParam,reibis,140,80,20,14654,3424,True,
MenuParam,reibis,1,424,106,530,88,True,
MenuPartsModelRendParam,reibis,14,4,1,491,400,True,
MenuPropertyLayoutParam,reibis,2512,32,8,217900,60352,True,
MenuPropertySpecParam,reibis,508,108,27,94152,12256,True,
MenuValueTableParam,reibis,270,12,3,14624,6544,True,
MercenaryRankTable,reibis,16,16,4,1255,448,True,
MessageBoxParam,reibis,141,24,6,12568,3448,True,
MiniAreaParam,reibis,2,16,4,167,112,True,
MissionParam,reibis,113,352,88,47011,2776,True,
MissionSystemMsgAnswerParam,reibis,41,16,4,4334,1048,True,
MissionSystemMsgCommonParam,reibis,21,64,16,3174,568,True,
MovementAcTypeParam,reibis,19,964,241,19306,520,True,
MovementEnemyTypeParam,reibis,216,688,172,153889,5248,True,
MovementFlyEnemyParam,reibis,10,112,28,1460,304,True,
MovementRideObjParam,reibis,3,68,17,375,136,True,
MultiPlayCorrectionParam,reibis,2,32,8,211,112,True,
NamePlateParam,reibis,122,16,4,4964,2992,True,
NetworkMsgParam,reibis,55,144,36,9329,1384,True,
NetworkParam,reibis,1,384,96,493,88,True,
NpcAiActionParam,reibis,126,20,5,10667,3088,True,
NpcArenaGameEffectParam,reibis,1,64,16,201,88,True,
NpcEquipPartsParam,reibis,137,612,153,94889,3352,True,
NpcMaterialParam,reibis,417,28,7,25150,10072,True,
NpcParam,reibis,1357,1920,480,2662333,32632,True,
NpcPartsParam,reibis,110,60,15,9801,2704,True,
NpcSystemMsgParam,reibis,3,32,8,257,136,True,
NpcThinkParam,reibis,1192,416,104,534869,28672,True,
NpcTransformParam,reibis,12,36,9,1104,352,True,
ObjActParam,reibis,55,48,12,4045,1384,True,
OsReinforce,reibis,20,172,43,5136,544,True,
OsReinforcePoint,reibis,47,8,2,4716,1192,True,
PadRumble,reibis,174,84,21,18883,4240,True,
PartsBreakLotteryParam,reibis,8,20,5,449,256,True,
PartsBreakParam,reibis,1,80,20,193,88,True,
PartsDrawParam,reibis,152,144,36,25624,3712,True,
PartsDrawParam_ps4,reibis,152,144,36,25624,3712,True,
PartsDrawParam_ps5,reibis,152,144,36,25624,3712,True,
PartsDrawParam_scarlett,reibis,152,144,36,25624,3712,True,
PartsDrawParam_xb1,reibis,152,144,36,25624,3712,True,
PartsTokenParam,reibis,98,20,5,15324,2416,True,
PathFindCostParam,reibis,3,32,8,260,136,True,
PhantomParam,reibis,66,56,14,5365,1648,True,
PlayRegionParam,reibis,6,96,24,809,208,True,
PlayerCamouflagePattern,reibis,30,16,4,1931,784,True,
PlayerColoringPresetParam,reibis,6,392,98,2587,208,True,
PlayerMaterialPresetParam,reibis,46,64,16,4148,1168,True,
PlayerWeatheringTexPresetParam,reibis,24,36,9,3336,640,True,
PresetEmblemSpec,reibis,147,16,4,5969,3592,True,
RagdollParam,reibis,24,48,12,1813,640,True,
ReTargetAnimSetParam,reibis,35,64,16,3175,904,True,
ReinforceParamProtector,reibis,17,68,17,1661,472,True,
ReinforceParamWeapon,reibis,464,132,33,72478,11200,True,
RigidBodyParam,reibis,17,88,22,1992,472,True,
RoleParam,reibis,33,128,32,5098,856,True,
RuntimeSoundExpressionParam_Npc,reibis,459,48,12,33150,11080,True,
RuntimeSoundExpressionParam_Pc,reibis,677,48,12,48846,16312,True,
RuntimeSoundGlobalParam,reibis,15,32,8,942,424,True,
RuntimeSoundParam_Npc,reibis,260,64,16,22976,6304,True,
RuntimeSoundParam_Pc,reibis,165,64,16,14616,4024,True,
SeMaterialConvertParam,reibis,83,32,8,4745,2056,True,
SfxModelParam,reibis,4,32,8,311,160,True,
ShieldParam_Npc,reibis,5,96,24,684,184,True,
ShieldParam_Pc,reibis,2,96,24,324,112,True,
ShootReboundParam,reibis,51,196,49,11311,1288,True,
ShopLineupParam,reibis,270,32,8,24802,6544,True,
SkydomeAssetParam,reibis,47,40,10,3881,1192,True,
SoundAutoReverbEvaluationDistParam,reibis,6,20,5,375,208,True,
SoundAutoReverbSelectParam,reibis,5,32,8,382,184,True,
SoundCutsceneParam,reibis,105,40,10,6812,2584,True,
SoundIDSpatialSetting,reibis,6,32,8,428,208,True,
SoundParam,reibis,1,68,17,175,88,True,
SoundVoiceBankLoad,reibis,66,64,16,5914,1648,True,
SpEffectParam,reibis,4127,956,239,4053847,99112,True,
SpEffectVfxParam,reibis,812,196,49,178937,19552,True,
SubWindowCamParam,reibis,2,88,22,316,112,True,
TalkParam,reibis,6027,64,16,953788,144712,True,
TankArmourParam,reibis,11,52,13,922,328,True,
TankBaseParam,reibis,8,64,16,788,256,True,
TankWheelModelParam,reibis,85,28,7,4511,2104,True,
TankWheelParam,reibis,35,36,9,2185,904,True,
TentativePlayerParam,reibis,2,2112,528,4366,112,True,
ThrowParam,reibis,131,132,33,20519,3208,True,
ThrustersLocomotionParam_PC,reibis,74,272,68,22005,1840,True,
ThrustersParam_NPC,reibis,501,388,97,206503,12088,True,
ThrustersParam_PC,reibis,103,700,175,75086,2536,True,
ThrustersSfxIdParam_NPC,reibis,6,32,8,433,208,True,
ThrustersSfxIdParam_PC,reibis,22,32,8,2351,592,True,
TutorialActJudgeParam,reibis,31,9,,2658,808,True,
TutorialParam,reibis,201,48,12,24468,4888,True,
UnlockParam_Archive,reibis,4,16,4,302,160,True,
UnlockParam_Archive_Logs,reibis,50,16,4,5322,1264,True,
UnlockParam_Archive_Terms,reibis,2,16,4,170,112,True,
UnlockParam_Archive_Tips,reibis,114,16,4,6944,2800,True,
UnlockParam_DLC,reibis,1,16,4,130,88,True,
UnlockParam_DecalImage,reibis,36,16,4,1530,928,True,
UnlockParam_EmblemPiece,reibis,1,16,4,130,88,True,
UnlockParam_Equipment,reibis,24,16,4,1764,640,True,
UnlockParam_MenuCommand,reibis,22,16,4,1174,592,True,
UnlockParam_NamePlate_Solo,reibis,21,16,4,930,568,True,
UnlockParam_NamePlate_Team,reibis,21,16,4,930,568,True,
UnlockParam_NpAcArena,reibis,159,16,4,8992,3880,True,
UnlockParam_OsPoint,reibis,47,16,4,4840,1192,True,
UnlockParam_Trophy,reibis,29,16,4,2930,760,True,
WepAbsorpPosParam,reibis,15,132,33,2602,424,True,
WetAspectParam,reibis,20,32,8,1456,544,True,
WhiteSignCoolTimeParam,reibis,10,16,4,498,304,True,
WorldMapLegacyConvParam,reibis,106,48,12,7731,2608,True,
WwiseValueToStrParam_ReflectAuxBusType,reibis,4,32,8,362,160,True,
WwiseValueToStrParam_ReflectTextureType,reibis,6,32,8,524,208,True,
WwiseValueToStrParam_ReverbAuxBusType,reibis,17,32,8,1564,472,True,
WwiseValueToStrParam_RuntimeReflectTextureType,reibis,100,32,8,5796,2464,True,
WwiseValueToStrParam_Switch_AttackPowerType,reibis,3,32,8,348,136,True,
WwiseValueToStrParam_Switch_BGMStatus,reibis,8,32,8,696,256,True,
WwiseValueToStrParam_Switch_BulletGenerateType,reibis,3,32,8,306,136,True,
WwiseValueToStrParam_Switch_DestroyedSeType,reibis,37,32,8,2254,952,True,
WwiseValueToStrParam_Switch_GeneratorType,reibis,3,32,8,310,136,True,
WwiseValueToStrParam_Switch_Material,reibis,115,32,8,6810,2824,True,
WwiseValueToStrParam_Switch_ShootSeCategory,reibis,38,32,8,3132,976,True,
WwiseValueToStrParam_Switch_WeaponAtkAttribute,reibis,6,32,8,510,208,True,
WwiseValueToStrParam_Switch_WeaponMaterial,reibis,17,32,8,1216,472,True,
WwiseValueToStrParam_Switch_Weapon_Type,reibis,14,32,8,1116,400,True,
Zoomblur,reibis,7,32,8,473,232,True,
